"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"23.01.2024 13:00 - 23.01.2024 13:15","71655","71541"
"23.01.2024 13:15 - 23.01.2024 13:30","71099","71034"
"23.01.2024 13:30 - 23.01.2024 13:45","70788","70712"
"23.01.2024 13:45 - 23.01.2024 14:00","69954","69974"
"23.01.2024 14:00 - 23.01.2024 14:15","69610","70068"
"23.01.2024 14:15 - 23.01.2024 14:30","69468","70136"
"23.01.2024 14:30 - 23.01.2024 14:45","69319","70007"
"23.01.2024 14:45 - 23.01.2024 15:00","69179","69561"
"23.01.2024 15:00 - 23.01.2024 15:15","68881","70400"
"23.01.2024 15:15 - 23.01.2024 15:30","68452","70416"
"23.01.2024 15:30 - 23.01.2024 15:45","68250","70147"
"23.01.2024 15:45 - 23.01.2024 16:00","67935","69941"
"23.01.2024 16:00 - 23.01.2024 16:15","67456","69979"
"23.01.2024 16:15 - 23.01.2024 16:30","67797","70145"
"23.01.2024 16:30 - 23.01.2024 16:45","67779","70370"
"23.01.2024 16:45 - 23.01.2024 17:00","68284","70682"
"23.01.2024 17:00 - 23.01.2024 17:15","69157","71674"
"23.01.2024 17:15 - 23.01.2024 17:30","69695","72521"
"23.01.2024 17:30 - 23.01.2024 17:45","70480","72836"
"23.01.2024 17:45 - 23.01.2024 18:00","70635","73118"
"23.01.2024 18:00 - 23.01.2024 18:15","70642","72607"
"23.01.2024 18:15 - 23.01.2024 18:30","70963","72386"
"23.01.2024 18:30 - 23.01.2024 18:45","70625","72474"
"23.01.2024 18:45 - 23.01.2024 19:00","70592","72238"
"23.01.2024 19:00 - 23.01.2024 19:15","70219","72062"
"23.01.2024 19:15 - 23.01.2024 19:30","69514","71659"
"23.01.2024 19:30 - 23.01.2024 19:45","68750","71007"
"23.01.2024 19:45 - 23.01.2024 20:00","67992","70295"
"23.01.2024 20:00 - 23.01.2024 20:15","66593","68697"
"23.01.2024 20:15 - 23.01.2024 20:30","65148","67619"
"23.01.2024 20:30 - 23.01.2024 20:45","64227","66704"
"23.01.2024 20:45 - 23.01.2024 21:00","63280","65888"
"23.01.2024 21:00 - 23.01.2024 21:15","62270","65151"
"23.01.2024 21:15 - 23.01.2024 21:30","61442","64397"
"23.01.2024 21:30 - 23.01.2024 21:45","60349","63082"
"23.01.2024 21:45 - 23.01.2024 22:00","59488","62626"
"23.01.2024 22:00 - 23.01.2024 22:15","58609","61662"
"23.01.2024 22:15 - 23.01.2024 22:30","57913","60759"
"23.01.2024 22:30 - 23.01.2024 22:45","57140","59836"
"23.01.2024 22:45 - 23.01.2024 23:00","56133","59261"
"23.01.2024 23:00 - 23.01.2024 23:15","54727","58171"
"23.01.2024 23:15 - 23.01.2024 23:30","54121","57787"
"23.01.2024 23:30 - 23.01.2024 23:45","53431","56982"
"23.01.2024 23:45 - 24.01.2024 00:00","52856","56285"
"24.01.2024 00:00 - 24.01.2024 00:15","53906","54505"
"24.01.2024 00:15 - 24.01.2024 00:30","53468","54118"
"24.01.2024 00:30 - 24.01.2024 00:45","52783","53570"
"24.01.2024 00:45 - 24.01.2024 01:00","52125","53329"
"24.01.2024 01:00 - 24.01.2024 01:15","51346","52801"
"24.01.2024 01:15 - 24.01.2024 01:30","50728","52381"
"24.01.2024 01:30 - 24.01.2024 01:45","50233","51873"
"24.01.2024 01:45 - 24.01.2024 02:00","50066","51859"
"24.01.2024 02:00 - 24.01.2024 02:15","49992","51451"
"24.01.2024 02:15 - 24.01.2024 02:30","49531","51270"
"24.01.2024 02:30 - 24.01.2024 02:45","49788","51299"
"24.01.2024 02:45 - 24.01.2024 03:00","49923","51191"
"24.01.2024 03:00 - 24.01.2024 03:15","49925","51139"
"24.01.2024 03:15 - 24.01.2024 03:30","49757","51112"
"24.01.2024 03:30 - 24.01.2024 03:45","49755","51218"
"24.01.2024 03:45 - 24.01.2024 04:00","50461","51420"
"24.01.2024 04:00 - 24.01.2024 04:15","51248","51483"
"24.01.2024 04:15 - 24.01.2024 04:30","51562","52148"
"24.01.2024 04:30 - 24.01.2024 04:45","52352","52435"
"24.01.2024 04:45 - 24.01.2024 05:00","51740","52670"
"24.01.2024 05:00 - 24.01.2024 05:15","53251","54382"
"24.01.2024 05:15 - 24.01.2024 05:30","54590","54927"
"24.01.2024 05:30 - 24.01.2024 05:45","55511","55753"
"24.01.2024 05:45 - 24.01.2024 06:00","56883","56898"
"24.01.2024 06:00 - 24.01.2024 06:15","59382","59003"
"24.01.2024 06:15 - 24.01.2024 06:30","60884","61037"
"24.01.2024 06:30 - 24.01.2024 06:45","62060","62308"
"24.01.2024 06:45 - 24.01.2024 07:00","63376","63783"
"24.01.2024 07:00 - 24.01.2024 07:15","65064","65616"
"24.01.2024 07:15 - 24.01.2024 07:30","66028","67145"
"24.01.2024 07:30 - 24.01.2024 07:45","66999","68148"
"24.01.2024 07:45 - 24.01.2024 08:00","67838","68789"
"24.01.2024 08:00 - 24.01.2024 08:15","68682","69614"
"24.01.2024 08:15 - 24.01.2024 08:30","69114","70006"
"24.01.2024 08:30 - 24.01.2024 08:45","69529","70213"
"24.01.2024 08:45 - 24.01.2024 09:00","69723","70404"
"24.01.2024 09:00 - 24.01.2024 09:15","69851","69525"
"24.01.2024 09:15 - 24.01.2024 09:30","70501","69422"
"24.01.2024 09:30 - 24.01.2024 09:45","70908","69311"
"24.01.2024 09:45 - 24.01.2024 10:00","71306","69868"
"24.01.2024 10:00 - 24.01.2024 10:15","71585","69514"
"24.01.2024 10:15 - 24.01.2024 10:30","71703","69746"
"24.01.2024 10:30 - 24.01.2024 10:45","71774","69922"
"24.01.2024 10:45 - 24.01.2024 11:00","72101","70460"
"24.01.2024 11:00 - 24.01.2024 11:15","72153","70468"
"24.01.2024 11:15 - 24.01.2024 11:30","72545","70927"
"24.01.2024 11:30 - 24.01.2024 11:45","72938","71058"
"24.01.2024 11:45 - 24.01.2024 12:00","72939","71335"
"24.01.2024 12:00 - 24.01.2024 12:15","72757","70756"
"24.01.2024 12:15 - 24.01.2024 12:30","72431","70249"
"24.01.2024 12:30 - 24.01.2024 12:45","72386","70012"
"24.01.2024 12:45 - 24.01.2024 13:00","72552","69746"
"24.01.2024 13:00 - 24.01.2024 13:15","72486","69745"
"24.01.2024 13:15 - 24.01.2024 13:30","71936","69289"
"24.01.2024 13:30 - 24.01.2024 13:45","71462","68946"
"24.01.2024 13:45 - 24.01.2024 14:00","70551","68246"
"24.01.2024 14:00 - 24.01.2024 14:15","70146","68487"
"24.01.2024 14:15 - 24.01.2024 14:30","70131","68495"
"24.01.2024 14:30 - 24.01.2024 14:45","70061","67834"
"24.01.2024 14:45 - 24.01.2024 15:00","70063","67529"
"24.01.2024 15:00 - 24.01.2024 15:15","69740","67505"
"24.01.2024 15:15 - 24.01.2024 15:30","69419","67599"
"24.01.2024 15:30 - 24.01.2024 15:45","69364","67426"
"24.01.2024 15:45 - 24.01.2024 16:00","68899","67307"
"24.01.2024 16:00 - 24.01.2024 16:15","68296","68348"
"24.01.2024 16:15 - 24.01.2024 16:30","68578","68501"
"24.01.2024 16:30 - 24.01.2024 16:45","68450","68766"
"24.01.2024 16:45 - 24.01.2024 17:00","68819","69253"
"24.01.2024 17:00 - 24.01.2024 17:15","69552","70024"
"24.01.2024 17:15 - 24.01.2024 17:30","69979","71061"
"24.01.2024 17:30 - 24.01.2024 17:45","70838","71839"
"24.01.2024 17:45 - 24.01.2024 18:00","70985","72042"
"24.01.2024 18:00 - 24.01.2024 18:15","71073","71036"
"24.01.2024 18:15 - 24.01.2024 18:30","71352","70941"
"24.01.2024 18:30 - 24.01.2024 18:45","71125","70674"
"24.01.2024 18:45 - 24.01.2024 19:00","71113","70384"
"24.01.2024 19:00 - 24.01.2024 19:15","70644","69653"
"24.01.2024 19:15 - 24.01.2024 19:30","69708","69126"
"24.01.2024 19:30 - 24.01.2024 19:45","68891","68618"
"24.01.2024 19:45 - 24.01.2024 20:00","68006","68570"
"24.01.2024 20:00 - 24.01.2024 20:15","66777","67168"
"24.01.2024 20:15 - 24.01.2024 20:30","65554","66078"
"24.01.2024 20:30 - 24.01.2024 20:45","64554","64948"
"24.01.2024 20:45 - 24.01.2024 21:00","63760","63777"
"24.01.2024 21:00 - 24.01.2024 21:15","62591","62651"
"24.01.2024 21:15 - 24.01.2024 21:30","61823","61703"
"24.01.2024 21:30 - 24.01.2024 21:45","60721","60985"
"24.01.2024 21:45 - 24.01.2024 22:00","60015","59945"
"24.01.2024 22:00 - 24.01.2024 22:15","59089","59387"
"24.01.2024 22:15 - 24.01.2024 22:30","58261","58423"
"24.01.2024 22:30 - 24.01.2024 22:45","57396","57441"
"24.01.2024 22:45 - 24.01.2024 23:00","56312","56845"
"24.01.2024 23:00 - 24.01.2024 23:15","54977","56267"
"24.01.2024 23:15 - 24.01.2024 23:30","54405","55153"
"24.01.2024 23:30 - 24.01.2024 23:45","53659","54432"
"24.01.2024 23:45 - 25.01.2024 00:00","53030","53994"
"25.01.2024 00:00 - 25.01.2024 00:15","52894","52926"
"25.01.2024 00:15 - 25.01.2024 00:30","52495","52606"
"25.01.2024 00:30 - 25.01.2024 00:45","52051","51893"
"25.01.2024 00:45 - 25.01.2024 01:00","50968","51009"
"25.01.2024 01:00 - 25.01.2024 01:15","50860","49826"
"25.01.2024 01:15 - 25.01.2024 01:30","50761","49423"
"25.01.2024 01:30 - 25.01.2024 01:45","50231","48888"
"25.01.2024 01:45 - 25.01.2024 02:00","49377","48506"
"25.01.2024 02:00 - 25.01.2024 02:15","48918","48213"
"25.01.2024 02:15 - 25.01.2024 02:30","49009","48267"
"25.01.2024 02:30 - 25.01.2024 02:45","49048","48131"
"25.01.2024 02:45 - 25.01.2024 03:00","48685","48077"
"25.01.2024 03:00 - 25.01.2024 03:15","49382","48330"
"25.01.2024 03:15 - 25.01.2024 03:30","49124","48475"
"25.01.2024 03:30 - 25.01.2024 03:45","48629","48459"
"25.01.2024 03:45 - 25.01.2024 04:00","49797","48893"
"25.01.2024 04:00 - 25.01.2024 04:15","50738","49514"
"25.01.2024 04:15 - 25.01.2024 04:30","50722","49865"
"25.01.2024 04:30 - 25.01.2024 04:45","51756","50088"
"25.01.2024 04:45 - 25.01.2024 05:00","51128","50567"
"25.01.2024 05:00 - 25.01.2024 05:15","52765","52502"
"25.01.2024 05:15 - 25.01.2024 05:30","53461","53107"
"25.01.2024 05:30 - 25.01.2024 05:45","54242","54027"
"25.01.2024 05:45 - 25.01.2024 06:00","56044","55882"
"25.01.2024 06:00 - 25.01.2024 06:15","57829","58753"
"25.01.2024 06:15 - 25.01.2024 06:30","59721","60984"
"25.01.2024 06:30 - 25.01.2024 06:45","60935","62874"
"25.01.2024 06:45 - 25.01.2024 07:00","62171","64081"
"25.01.2024 07:00 - 25.01.2024 07:15","63424","65975"
"25.01.2024 07:15 - 25.01.2024 07:30","64517","67479"
"25.01.2024 07:30 - 25.01.2024 07:45","65439","68420"
"25.01.2024 07:45 - 25.01.2024 08:00","65919","69126"
"25.01.2024 08:00 - 25.01.2024 08:15","66442","69371"
"25.01.2024 08:15 - 25.01.2024 08:30","66916","69696"
"25.01.2024 08:30 - 25.01.2024 08:45","67292","69991"
"25.01.2024 08:45 - 25.01.2024 09:00","67494","70151"
"25.01.2024 09:00 - 25.01.2024 09:15","67875","69563"
"25.01.2024 09:15 - 25.01.2024 09:30","68301","69741"
"25.01.2024 09:30 - 25.01.2024 09:45","69018","70021"
"25.01.2024 09:45 - 25.01.2024 10:00","69353","69637"
"25.01.2024 10:00 - 25.01.2024 10:15","69443","69274"
"25.01.2024 10:15 - 25.01.2024 10:30","69388","69147"
"25.01.2024 10:30 - 25.01.2024 10:45","69748","69105"
"25.01.2024 10:45 - 25.01.2024 11:00","69958","69299"
"25.01.2024 11:00 - 25.01.2024 11:15","70450","69647"
"25.01.2024 11:15 - 25.01.2024 11:30","70957","69761"
"25.01.2024 11:30 - 25.01.2024 11:45","71306","69950"
"25.01.2024 11:45 - 25.01.2024 12:00","71223","69486"
"25.01.2024 12:00 - 25.01.2024 12:15","71085","68307"
"25.01.2024 12:15 - 25.01.2024 12:30","70680","68026"
"25.01.2024 12:30 - 25.01.2024 12:45","71152","67845"
"25.01.2024 12:45 - 25.01.2024 13:00","71052","67816"
"25.01.2024 13:00 - 25.01.2024 13:15","71458","68379"
"25.01.2024 13:15 - 25.01.2024 13:30","70671","68180"
"25.01.2024 13:30 - 25.01.2024 13:45","70586","67864"
"25.01.2024 13:45 - 25.01.2024 14:00","69268","67360"
"25.01.2024 14:00 - 25.01.2024 14:15","69490","67491"
"25.01.2024 14:15 - 25.01.2024 14:30","69640","67179"
"25.01.2024 14:30 - 25.01.2024 14:45","69465","66949"
"25.01.2024 14:45 - 25.01.2024 15:00","69049","66781"
"25.01.2024 15:00 - 25.01.2024 15:15","68820","66835"
"25.01.2024 15:15 - 25.01.2024 15:30","68723","66751"
"25.01.2024 15:30 - 25.01.2024 15:45","68175","66567"
"25.01.2024 15:45 - 25.01.2024 16:00","67877","66865"
"25.01.2024 16:00 - 25.01.2024 16:15","67843","67045"
"25.01.2024 16:15 - 25.01.2024 16:30","67803","66613"
"25.01.2024 16:30 - 25.01.2024 16:45","67730","66925"
"25.01.2024 16:45 - 25.01.2024 17:00","67285","67458"
"25.01.2024 17:00 - 25.01.2024 17:15","68838","68307"
"25.01.2024 17:15 - 25.01.2024 17:30","68632","69091"
"25.01.2024 17:30 - 25.01.2024 17:45","69509","69649"
"25.01.2024 17:45 - 25.01.2024 18:00","69841","69872"
"25.01.2024 18:00 - 25.01.2024 18:15","69909","69250"
"25.01.2024 18:15 - 25.01.2024 18:30","69927","69207"
"25.01.2024 18:30 - 25.01.2024 18:45","69831","69216"
"25.01.2024 18:45 - 25.01.2024 19:00","69400","68963"
"25.01.2024 19:00 - 25.01.2024 19:15","68731","68327"
"25.01.2024 19:15 - 25.01.2024 19:30","67862","67693"
"25.01.2024 19:30 - 25.01.2024 19:45","67205","66964"
"25.01.2024 19:45 - 25.01.2024 20:00","66370","66300"
"25.01.2024 20:00 - 25.01.2024 20:15","65146","64966"
"25.01.2024 20:15 - 25.01.2024 20:30","64460","64260"
"25.01.2024 20:30 - 25.01.2024 20:45","63559","63250"
"25.01.2024 20:45 - 25.01.2024 21:00","62671","62279"
"25.01.2024 21:00 - 25.01.2024 21:15","61550","61121"
"25.01.2024 21:15 - 25.01.2024 21:30","60944","60180"
"25.01.2024 21:30 - 25.01.2024 21:45","60289","59519"
"25.01.2024 21:45 - 25.01.2024 22:00","59198","58499"
"25.01.2024 22:00 - 25.01.2024 22:15","58851","57851"
"25.01.2024 22:15 - 25.01.2024 22:30","58160","56965"
"25.01.2024 22:30 - 25.01.2024 22:45","57374","56195"
"25.01.2024 22:45 - 25.01.2024 23:00","56542","55323"
"25.01.2024 23:00 - 25.01.2024 23:15","55487","53868"
"25.01.2024 23:15 - 25.01.2024 23:30","54546","53177"
"25.01.2024 23:30 - 25.01.2024 23:45","53946","52479"
"25.01.2024 23:45 - 26.01.2024 00:00","53232","51963"
"26.01.2024 00:00 - 26.01.2024 00:15","52934","50115"
"26.01.2024 00:15 - 26.01.2024 00:30","52103","49348"
"26.01.2024 00:30 - 26.01.2024 00:45","52639","48810"
"26.01.2024 00:45 - 26.01.2024 01:00","51504","48526"
"26.01.2024 01:00 - 26.01.2024 01:15","51150","47806"
"26.01.2024 01:15 - 26.01.2024 01:30","51504","47770"
"26.01.2024 01:30 - 26.01.2024 01:45","50068","47679"
"26.01.2024 01:45 - 26.01.2024 02:00","50776","47487"
"26.01.2024 02:00 - 26.01.2024 02:15","50638","47110"
"26.01.2024 02:15 - 26.01.2024 02:30","49655","46817"
"26.01.2024 02:30 - 26.01.2024 02:45","49647","46753"
"26.01.2024 02:45 - 26.01.2024 03:00","49694","46874"
"26.01.2024 03:00 - 26.01.2024 03:15","50117","47390"
"26.01.2024 03:15 - 26.01.2024 03:30","50142","47476"
"26.01.2024 03:30 - 26.01.2024 03:45","50030","47548"
"26.01.2024 03:45 - 26.01.2024 04:00","50734","47760"
"26.01.2024 04:00 - 26.01.2024 04:15","51327","48147"
"26.01.2024 04:15 - 26.01.2024 04:30","51452","48627"
"26.01.2024 04:30 - 26.01.2024 04:45","51929","49078"
"26.01.2024 04:45 - 26.01.2024 05:00","52246","49603"
"26.01.2024 05:00 - 26.01.2024 05:15","52634","51172"
"26.01.2024 05:15 - 26.01.2024 05:30","53481","51771"
"26.01.2024 05:30 - 26.01.2024 05:45","54196","52597"
"26.01.2024 05:45 - 26.01.2024 06:00","55359","54126"
"26.01.2024 06:00 - 26.01.2024 06:15","57708","56844"
"26.01.2024 06:15 - 26.01.2024 06:30","59649","58464"
"26.01.2024 06:30 - 26.01.2024 06:45","60864","59604"
"26.01.2024 06:45 - 26.01.2024 07:00","61946","60945"
"26.01.2024 07:00 - 26.01.2024 07:15","63450","63157"
"26.01.2024 07:15 - 26.01.2024 07:30","64379","64714"
"26.01.2024 07:30 - 26.01.2024 07:45","65218","66032"
"26.01.2024 07:45 - 26.01.2024 08:00","65996","67050"
"26.01.2024 08:00 - 26.01.2024 08:15","66755","68209"
"26.01.2024 08:15 - 26.01.2024 08:30","67119","68663"
"26.01.2024 08:30 - 26.01.2024 08:45","67362","69272"
"26.01.2024 08:45 - 26.01.2024 09:00","67673","69732"
"26.01.2024 09:00 - 26.01.2024 09:15","67475","69095"
"26.01.2024 09:15 - 26.01.2024 09:30","68185","69169"
"26.01.2024 09:30 - 26.01.2024 09:45","68448","69300"
"26.01.2024 09:45 - 26.01.2024 10:00","68465","69285"
"26.01.2024 10:00 - 26.01.2024 10:15","68438","69681"
"26.01.2024 10:15 - 26.01.2024 10:30","68633","69528"
"26.01.2024 10:30 - 26.01.2024 10:45","68893","69735"
"26.01.2024 10:45 - 26.01.2024 11:00","68658","69667"
"26.01.2024 11:00 - 26.01.2024 11:15","68961","69358"
"26.01.2024 11:15 - 26.01.2024 11:30","69195","69552"
"26.01.2024 11:30 - 26.01.2024 11:45","69502","69801"
"26.01.2024 11:45 - 26.01.2024 12:00","69215","69749"
"26.01.2024 12:00 - 26.01.2024 12:15","68968","69822"
"26.01.2024 12:15 - 26.01.2024 12:30","68967","69789"
"26.01.2024 12:30 - 26.01.2024 12:45","68810","69575"
"26.01.2024 12:45 - 26.01.2024 13:00","68874","69665"
"26.01.2024 13:00 - 26.01.2024 13:15","68668","69179"
"26.01.2024 13:15 - 26.01.2024 13:30","68450","68824"
"26.01.2024 13:30 - 26.01.2024 13:45","68107","68868"
"26.01.2024 13:45 - 26.01.2024 14:00","66971","68042"
"26.01.2024 14:00 - 26.01.2024 14:15","66982","68134"
"26.01.2024 14:15 - 26.01.2024 14:30","66369","68163"
"26.01.2024 14:30 - 26.01.2024 14:45","66170","67907"
"26.01.2024 14:45 - 26.01.2024 15:00","66042","67247"
"26.01.2024 15:00 - 26.01.2024 15:15","66307","66166"
"26.01.2024 15:15 - 26.01.2024 15:30","65869","66017"
"26.01.2024 15:30 - 26.01.2024 15:45","65275","65788"
"26.01.2024 15:45 - 26.01.2024 16:00","65187","65758"
"26.01.2024 16:00 - 26.01.2024 16:15","65459","66058"
"26.01.2024 16:15 - 26.01.2024 16:30","65044","65678"
"26.01.2024 16:30 - 26.01.2024 16:45","65247","66351"
"26.01.2024 16:45 - 26.01.2024 17:00","65634","66666"
"26.01.2024 17:00 - 26.01.2024 17:15","66197","68142"
"26.01.2024 17:15 - 26.01.2024 17:30","67514","69117"
"26.01.2024 17:30 - 26.01.2024 17:45","68366","69756"
"26.01.2024 17:45 - 26.01.2024 18:00","68502","69769"
"26.01.2024 18:00 - 26.01.2024 18:15","68609","68888"
"26.01.2024 18:15 - 26.01.2024 18:30","68441","68705"
"26.01.2024 18:30 - 26.01.2024 18:45","67994","68492"
"26.01.2024 18:45 - 26.01.2024 19:00","68124","67921"
"26.01.2024 19:00 - 26.01.2024 19:15","67512","67960"
"26.01.2024 19:15 - 26.01.2024 19:30","66441","67177"
"26.01.2024 19:30 - 26.01.2024 19:45","65937","66577"
"26.01.2024 19:45 - 26.01.2024 20:00","65127","65778"
"26.01.2024 20:00 - 26.01.2024 20:15","64283","64708"
"26.01.2024 20:15 - 26.01.2024 20:30","63222","63491"
"26.01.2024 20:30 - 26.01.2024 20:45","62067","62432"
"26.01.2024 20:45 - 26.01.2024 21:00","61333","61546"
"26.01.2024 21:00 - 26.01.2024 21:15","60375","59913"
"26.01.2024 21:15 - 26.01.2024 21:30","59753","59415"
"26.01.2024 21:30 - 26.01.2024 21:45","58711","58507"
"26.01.2024 21:45 - 26.01.2024 22:00","58080","57985"
"26.01.2024 22:00 - 26.01.2024 22:15","57964","57544"
"26.01.2024 22:15 - 26.01.2024 22:30","57269","56921"
"26.01.2024 22:30 - 26.01.2024 22:45","56790","56245"
"26.01.2024 22:45 - 26.01.2024 23:00","55030","55575"
"26.01.2024 23:00 - 26.01.2024 23:15","54740","54716"
"26.01.2024 23:15 - 26.01.2024 23:30","54170","54077"
"26.01.2024 23:30 - 26.01.2024 23:45","54148","52872"
"26.01.2024 23:45 - 27.01.2024 00:00","53459","52092"
"27.01.2024 00:00 - 27.01.2024 00:15","51703","52057"
"27.01.2024 00:15 - 27.01.2024 00:30","50858","51632"
"27.01.2024 00:30 - 27.01.2024 00:45","50335","51226"
"27.01.2024 00:45 - 27.01.2024 01:00","49598","50734"
"27.01.2024 01:00 - 27.01.2024 01:15","49314","50573"
"27.01.2024 01:15 - 27.01.2024 01:30","48913","50207"
"27.01.2024 01:30 - 27.01.2024 01:45","48562","50102"
"27.01.2024 01:45 - 27.01.2024 02:00","47944","49716"
"27.01.2024 02:00 - 27.01.2024 02:15","47546","49396"
"27.01.2024 02:15 - 27.01.2024 02:30","47531","49538"
"27.01.2024 02:30 - 27.01.2024 02:45","47065","49342"
"27.01.2024 02:45 - 27.01.2024 03:00","46866","49473"
"27.01.2024 03:00 - 27.01.2024 03:15","46520","49335"
"27.01.2024 03:15 - 27.01.2024 03:30","46240","49338"
"27.01.2024 03:30 - 27.01.2024 03:45","45877","48984"
"27.01.2024 03:45 - 27.01.2024 04:00","45919","48950"
"27.01.2024 04:00 - 27.01.2024 04:15","46286","49011"
"27.01.2024 04:15 - 27.01.2024 04:30","46065","48986"
"27.01.2024 04:30 - 27.01.2024 04:45","46285","48970"
"27.01.2024 04:45 - 27.01.2024 05:00","46663","48905"
"27.01.2024 05:00 - 27.01.2024 05:15","47304","49269"
"27.01.2024 05:15 - 27.01.2024 05:30","47567","49553"
"27.01.2024 05:30 - 27.01.2024 05:45","47935","49462"
"27.01.2024 05:45 - 27.01.2024 06:00","47858","49635"
"27.01.2024 06:00 - 27.01.2024 06:15","48188","49835"
"27.01.2024 06:15 - 27.01.2024 06:30","48342","50003"
"27.01.2024 06:30 - 27.01.2024 06:45","48526","50297"
"27.01.2024 06:45 - 27.01.2024 07:00","49051","50434"
"27.01.2024 07:00 - 27.01.2024 07:15","49613","51538"
"27.01.2024 07:15 - 27.01.2024 07:30","50457","52572"
"27.01.2024 07:30 - 27.01.2024 07:45","51165","52852"
"27.01.2024 07:45 - 27.01.2024 08:00","51501","53854"
"27.01.2024 08:00 - 27.01.2024 08:15","52273","54510"
"27.01.2024 08:15 - 27.01.2024 08:30","53776","55514"
"27.01.2024 08:30 - 27.01.2024 08:45","54671","56346"
"27.01.2024 08:45 - 27.01.2024 09:00","55417","56914"
"27.01.2024 09:00 - 27.01.2024 09:15","56214","57998"
"27.01.2024 09:15 - 27.01.2024 09:30","57286","58297"
"27.01.2024 09:30 - 27.01.2024 09:45","57861","58833"
"27.01.2024 09:45 - 27.01.2024 10:00","58167","58979"
"27.01.2024 10:00 - 27.01.2024 10:15","58633","58685"
"27.01.2024 10:15 - 27.01.2024 10:30","58617","58769"
"27.01.2024 10:30 - 27.01.2024 10:45","59014","58611"
"27.01.2024 10:45 - 27.01.2024 11:00","59002","58705"
"27.01.2024 11:00 - 27.01.2024 11:15","59291","58750"
"27.01.2024 11:15 - 27.01.2024 11:30","59474","58651"
"27.01.2024 11:30 - 27.01.2024 11:45","59716","58807"
"27.01.2024 11:45 - 27.01.2024 12:00","59576","58685"
"27.01.2024 12:00 - 27.01.2024 12:15","59566","57907"
"27.01.2024 12:15 - 27.01.2024 12:30","59427","57335"
"27.01.2024 12:30 - 27.01.2024 12:45","59298","56822"
"27.01.2024 12:45 - 27.01.2024 13:00","58771","56166"
"27.01.2024 13:00 - 27.01.2024 13:15","58719","55762"
"27.01.2024 13:15 - 27.01.2024 13:30","57976","55092"
"27.01.2024 13:30 - 27.01.2024 13:45","57689","54722"
"27.01.2024 13:45 - 27.01.2024 14:00","57150","54191"
"27.01.2024 14:00 - 27.01.2024 14:15","56806","53916"
"27.01.2024 14:15 - 27.01.2024 14:30","56331","53578"
"27.01.2024 14:30 - 27.01.2024 14:45","55903","52821"
"27.01.2024 14:45 - 27.01.2024 15:00","55594","52689"
"27.01.2024 15:00 - 27.01.2024 15:15","55193","53006"
"27.01.2024 15:15 - 27.01.2024 15:30","55173","53122"
"27.01.2024 15:30 - 27.01.2024 15:45","54879","53131"
"27.01.2024 15:45 - 27.01.2024 16:00","55034","53053"
"27.01.2024 16:00 - 27.01.2024 16:15","55057","53673"
"27.01.2024 16:15 - 27.01.2024 16:30","54993","54210"
"27.01.2024 16:30 - 27.01.2024 16:45","55384","54796"
"27.01.2024 16:45 - 27.01.2024 17:00","55994","55627"
"27.01.2024 17:00 - 27.01.2024 17:15","56718","56920"
"27.01.2024 17:15 - 27.01.2024 17:30","57494","58123"
"27.01.2024 17:30 - 27.01.2024 17:45","58404","59327"
"27.01.2024 17:45 - 27.01.2024 18:00","58818","60062"
"27.01.2024 18:00 - 27.01.2024 18:15","59110","60220"
"27.01.2024 18:15 - 27.01.2024 18:30","59042","60349"
"27.01.2024 18:30 - 27.01.2024 18:45","58875","59975"
"27.01.2024 18:45 - 27.01.2024 19:00","58310","59793"
"27.01.2024 19:00 - 27.01.2024 19:15","58331","59484"
"27.01.2024 19:15 - 27.01.2024 19:30","57335","59211"
"27.01.2024 19:30 - 27.01.2024 19:45","56607","58693"
"27.01.2024 19:45 - 27.01.2024 20:00","56333","58183"
"27.01.2024 20:00 - 27.01.2024 20:15","55735","56915"
"27.01.2024 20:15 - 27.01.2024 20:30","54637","56034"
"27.01.2024 20:30 - 27.01.2024 20:45","53675","54928"
"27.01.2024 20:45 - 27.01.2024 21:00","53005","54236"
"27.01.2024 21:00 - 27.01.2024 21:15","52194","53914"
"27.01.2024 21:15 - 27.01.2024 21:30","51621","53366"
"27.01.2024 21:30 - 27.01.2024 21:45","51431","52633"
"27.01.2024 21:45 - 27.01.2024 22:00","50911","52412"
"27.01.2024 22:00 - 27.01.2024 22:15","51179","52911"
"27.01.2024 22:15 - 27.01.2024 22:30","50512","52374"
"27.01.2024 22:30 - 27.01.2024 22:45","50205","51498"
"27.01.2024 22:45 - 27.01.2024 23:00","49516","50735"
"27.01.2024 23:00 - 27.01.2024 23:15","48636","50304"
"27.01.2024 23:15 - 27.01.2024 23:30","47739","49596"
"27.01.2024 23:30 - 27.01.2024 23:45","47258","48506"
"27.01.2024 23:45 - 28.01.2024 00:00","46445","48039"
"28.01.2024 00:00 - 28.01.2024 00:15","45821","45520"
"28.01.2024 00:15 - 28.01.2024 00:30","44955","44947"
"28.01.2024 00:30 - 28.01.2024 00:45","44464","44318"
"28.01.2024 00:45 - 28.01.2024 01:00","43950","43781"
"28.01.2024 01:00 - 28.01.2024 01:15","43258","43114"
"28.01.2024 01:15 - 28.01.2024 01:30","43142","43026"
"28.01.2024 01:30 - 28.01.2024 01:45","42730","42419"
