"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"02.01.2024 00:30 - 02.01.2024 00:45","43246","38493"
"02.01.2024 00:45 - 02.01.2024 01:00","42692","37971"
"02.01.2024 01:00 - 02.01.2024 01:15","42294","37678"
"02.01.2024 01:15 - 02.01.2024 01:30","42114","37394"
"02.01.2024 01:30 - 02.01.2024 01:45","41758","37342"
"02.01.2024 01:45 - 02.01.2024 02:00","41575","37447"
"02.01.2024 02:00 - 02.01.2024 02:15","41308","37817"
"02.01.2024 02:15 - 02.01.2024 02:30","41010","37377"
"02.01.2024 02:30 - 02.01.2024 02:45","40947","37317"
"02.01.2024 02:45 - 02.01.2024 03:00","41097","37177"
"02.01.2024 03:00 - 02.01.2024 03:15","41243","37329"
"02.01.2024 03:15 - 02.01.2024 03:30","41345","37392"
"02.01.2024 03:30 - 02.01.2024 03:45","41416","37798"
"02.01.2024 03:45 - 02.01.2024 04:00","41690","38424"
"02.01.2024 04:00 - 02.01.2024 04:15","42386","39202"
"02.01.2024 04:15 - 02.01.2024 04:30","42769","39490"
"02.01.2024 04:30 - 02.01.2024 04:45","43385","40020"
"02.01.2024 04:45 - 02.01.2024 05:00","44015","40481"
"02.01.2024 05:00 - 02.01.2024 05:15","45072","41579"
"02.01.2024 05:15 - 02.01.2024 05:30","45913","42026"
"02.01.2024 05:30 - 02.01.2024 05:45","47054","43298"
"02.01.2024 05:45 - 02.01.2024 06:00","48490","44616"
"02.01.2024 06:00 - 02.01.2024 06:15","50955","46471"
"02.01.2024 06:15 - 02.01.2024 06:30","52758","47579"
"02.01.2024 06:30 - 02.01.2024 06:45","53845","48576"
"02.01.2024 06:45 - 02.01.2024 07:00","55044","50172"
"02.01.2024 07:00 - 02.01.2024 07:15","56544","51500"
"02.01.2024 07:15 - 02.01.2024 07:30","57509","52563"
"02.01.2024 07:30 - 02.01.2024 07:45","58694","53531"
"02.01.2024 07:45 - 02.01.2024 08:00","59250","54793"
"02.01.2024 08:00 - 02.01.2024 08:15","59854","55657"
"02.01.2024 08:15 - 02.01.2024 08:30","60311","56504"
"02.01.2024 08:30 - 02.01.2024 08:45","60961","56867"
"02.01.2024 08:45 - 02.01.2024 09:00","61083","57451"
"02.01.2024 09:00 - 02.01.2024 09:15","61271","57725"
"02.01.2024 09:15 - 02.01.2024 09:30","61758","58361"
"02.01.2024 09:30 - 02.01.2024 09:45","62280","58780"
"02.01.2024 09:45 - 02.01.2024 10:00","62438","59224"
"02.01.2024 10:00 - 02.01.2024 10:15","62523","59530"
"02.01.2024 10:15 - 02.01.2024 10:30","62515","59951"
"02.01.2024 10:30 - 02.01.2024 10:45","62511","60268"
"02.01.2024 10:45 - 02.01.2024 11:00","62640","60718"
"02.01.2024 11:00 - 02.01.2024 11:15","62945","61118"
"02.01.2024 11:15 - 02.01.2024 11:30","63189","61411"
"02.01.2024 11:30 - 02.01.2024 11:45","63184","61867"
"02.01.2024 11:45 - 02.01.2024 12:00","63125","61838"
"02.01.2024 12:00 - 02.01.2024 12:15","62996","61946"
"02.01.2024 12:15 - 02.01.2024 12:30","62790","61897"
"02.01.2024 12:30 - 02.01.2024 12:45","62790","61943"
"02.01.2024 12:45 - 02.01.2024 13:00","62710","61841"
"02.01.2024 13:00 - 02.01.2024 13:15","62552","61846"
"02.01.2024 13:15 - 02.01.2024 13:30","62455","61405"
"02.01.2024 13:30 - 02.01.2024 13:45","61929","61103"
"02.01.2024 13:45 - 02.01.2024 14:00","61512","60584"
"02.01.2024 14:00 - 02.01.2024 14:15","61081","60270"
"02.01.2024 14:15 - 02.01.2024 14:30","60881","60448"
"02.01.2024 14:30 - 02.01.2024 14:45","60862","60433"
"02.01.2024 14:45 - 02.01.2024 15:00","60427","60137"
"02.01.2024 15:00 - 02.01.2024 15:15","60763","60535"
"02.01.2024 15:15 - 02.01.2024 15:30","60588","60759"
"02.01.2024 15:30 - 02.01.2024 15:45","60446","60720"
"02.01.2024 15:45 - 02.01.2024 16:00","60223","60675"
"02.01.2024 16:00 - 02.01.2024 16:15","60474","61326"
"02.01.2024 16:15 - 02.01.2024 16:30","60484","61715"
"02.01.2024 16:30 - 02.01.2024 16:45","60927","62322"
"02.01.2024 16:45 - 02.01.2024 17:00","61152","62785"
"02.01.2024 17:00 - 02.01.2024 17:15","61858","63492"
"02.01.2024 17:15 - 02.01.2024 17:30","62595","63761"
"02.01.2024 17:30 - 02.01.2024 17:45","62360","64207"
"02.01.2024 17:45 - 02.01.2024 18:00","62979","64549"
"02.01.2024 18:00 - 02.01.2024 18:15","63162","64112"
"02.01.2024 18:15 - 02.01.2024 18:30","63186","63621"
"02.01.2024 18:30 - 02.01.2024 18:45","63189","63663"
"02.01.2024 18:45 - 02.01.2024 19:00","62806","63408"
"02.01.2024 19:00 - 02.01.2024 19:15","62648","62775"
"02.01.2024 19:15 - 02.01.2024 19:30","62016","61920"
"02.01.2024 19:30 - 02.01.2024 19:45","61545","61476"
"02.01.2024 19:45 - 02.01.2024 20:00","61338","61129"
"02.01.2024 20:00 - 02.01.2024 20:15","60257","60071"
"02.01.2024 20:15 - 02.01.2024 20:30","58940","58905"
"02.01.2024 20:30 - 02.01.2024 20:45","58142","58239"
"02.01.2024 20:45 - 02.01.2024 21:00","57023","57444"
"02.01.2024 21:00 - 02.01.2024 21:15","56047","56596"
"02.01.2024 21:15 - 02.01.2024 21:30","55165","55699"
"02.01.2024 21:30 - 02.01.2024 21:45","54257","54801"
"02.01.2024 21:45 - 02.01.2024 22:00","53448","54140"
"02.01.2024 22:00 - 02.01.2024 22:15","52707","53932"
"02.01.2024 22:15 - 02.01.2024 22:30","52034","52840"
"02.01.2024 22:30 - 02.01.2024 22:45","51316","51996"
"02.01.2024 22:45 - 02.01.2024 23:00","50306","51324"
"02.01.2024 23:00 - 02.01.2024 23:15","48918","50768"
"02.01.2024 23:15 - 02.01.2024 23:30","48137","49646"
"02.01.2024 23:30 - 02.01.2024 23:45","47642","49133"
"02.01.2024 23:45 - 03.01.2024 00:00","47152","48666"
"03.01.2024 00:00 - 03.01.2024 00:15","46399","47631"
"03.01.2024 00:15 - 03.01.2024 00:30","45639","46569"
"03.01.2024 00:30 - 03.01.2024 00:45","45081","46457"
"03.01.2024 00:45 - 03.01.2024 01:00","44510","45706"
"03.01.2024 01:00 - 03.01.2024 01:15","44010","45249"
"03.01.2024 01:15 - 03.01.2024 01:30","43711","44963"
"03.01.2024 01:30 - 03.01.2024 01:45","43322","44612"
"03.01.2024 01:45 - 03.01.2024 02:00","43146","44242"
"03.01.2024 02:00 - 03.01.2024 02:15","42922","43897"
"03.01.2024 02:15 - 03.01.2024 02:30","42414","43481"
"03.01.2024 02:30 - 03.01.2024 02:45","42457","43576"
"03.01.2024 02:45 - 03.01.2024 03:00","42684","43899"
"03.01.2024 03:00 - 03.01.2024 03:15","42981","44098"
"03.01.2024 03:15 - 03.01.2024 03:30","42933","43876"
"03.01.2024 03:30 - 03.01.2024 03:45","43062","44005"
"03.01.2024 03:45 - 03.01.2024 04:00","43356","44313"
"03.01.2024 04:00 - 03.01.2024 04:15","44013","44770"
"03.01.2024 04:15 - 03.01.2024 04:30","44446","45279"
"03.01.2024 04:30 - 03.01.2024 04:45","45246","45726"
"03.01.2024 04:45 - 03.01.2024 05:00","45939","46238"
"03.01.2024 05:00 - 03.01.2024 05:15","47047","47259"
"03.01.2024 05:15 - 03.01.2024 05:30","47930","47501"
"03.01.2024 05:30 - 03.01.2024 05:45","49055","48641"
"03.01.2024 05:45 - 03.01.2024 06:00","50383","50221"
"03.01.2024 06:00 - 03.01.2024 06:15","52570","52782"
"03.01.2024 06:15 - 03.01.2024 06:30","54127","53970"
"03.01.2024 06:30 - 03.01.2024 06:45","55181","54535"
"03.01.2024 06:45 - 03.01.2024 07:00","56374","55652"
"03.01.2024 07:00 - 03.01.2024 07:15","57714","57127"
"03.01.2024 07:15 - 03.01.2024 07:30","58693","58321"
"03.01.2024 07:30 - 03.01.2024 07:45","59694","59462"
"03.01.2024 07:45 - 03.01.2024 08:00","60330","60267"
"03.01.2024 08:00 - 03.01.2024 08:15","60994","60989"
