"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|PL","Actual Total Load [MW] - BZN|PL"
"05.01.2024 02:00 - 05.01.2024 03:00","15940","17123"
"05.01.2024 03:00 - 05.01.2024 04:00","16028","17094"
"05.01.2024 04:00 - 05.01.2024 05:00","16609","17568"
"05.01.2024 05:00 - 05.01.2024 06:00","18240","18418"
"05.01.2024 06:00 - 05.01.2024 07:00","21214","20980"
"05.01.2024 07:00 - 05.01.2024 08:00","22281","22927"
"05.01.2024 08:00 - 05.01.2024 09:00","23195","23810"
"05.01.2024 09:00 - 05.01.2024 10:00","23116","24293"
"05.01.2024 10:00 - 05.01.2024 11:00","22855","24179"
"05.01.2024 11:00 - 05.01.2024 12:00","22837","24300"
"05.01.2024 12:00 - 05.01.2024 13:00","22961","24516"
"05.01.2024 13:00 - 05.01.2024 14:00","23297","24288"
"05.01.2024 14:00 - 05.01.2024 15:00","22901","23949"
"05.01.2024 15:00 - 05.01.2024 16:00","23269","23898"
"05.01.2024 16:00 - 05.01.2024 17:00","23959","24524"
"05.01.2024 17:00 - 05.01.2024 18:00","23946","24445"
"05.01.2024 18:00 - 05.01.2024 19:00","23537","24032"
"05.01.2024 19:00 - 05.01.2024 20:00","23427","23673"
"05.01.2024 20:00 - 05.01.2024 21:00","22867","23064"
"05.01.2024 21:00 - 05.01.2024 22:00","21664","21729"
"05.01.2024 22:00 - 05.01.2024 23:00","20063","20426"
"05.01.2024 23:00 - 06.01.2024 00:00","18716","19165"
"06.01.2024 00:00 - 06.01.2024 01:00","17699","17941"
"06.01.2024 01:00 - 06.01.2024 02:00","16946","17202"
"06.01.2024 02:00 - 06.01.2024 03:00","16347","16716"
"06.01.2024 03:00 - 06.01.2024 04:00","15996","16506"
"06.01.2024 04:00 - 06.01.2024 05:00","15945","16333"
"06.01.2024 05:00 - 06.01.2024 06:00","15746","16207"
"06.01.2024 06:00 - 06.01.2024 07:00","15951","16462"
"06.01.2024 07:00 - 06.01.2024 08:00","16305","16823"
"06.01.2024 08:00 - 06.01.2024 09:00","17236","17794"
"06.01.2024 09:00 - 06.01.2024 10:00","18142","18938"
"06.01.2024 10:00 - 06.01.2024 11:00","18759","19799"
"06.01.2024 11:00 - 06.01.2024 12:00","18989","20272"
"06.01.2024 12:00 - 06.01.2024 13:00","19137","20459"
"06.01.2024 13:00 - 06.01.2024 14:00","19247","20591"
"06.01.2024 14:00 - 06.01.2024 15:00","19022","20407"
"06.01.2024 15:00 - 06.01.2024 16:00","19342","20184"
"06.01.2024 16:00 - 06.01.2024 17:00","19927","20593"
"06.01.2024 17:00 - 06.01.2024 18:00","19919","20455"
"06.01.2024 18:00 - 06.01.2024 19:00","19913","20209"
"06.01.2024 19:00 - 06.01.2024 20:00","19910","19960"
"06.01.2024 20:00 - 06.01.2024 21:00","19460","19586"
"06.01.2024 21:00 - 06.01.2024 22:00","18815","18766"
"06.01.2024 22:00 - 06.01.2024 23:00","18125","18063"
"06.01.2024 23:00 - 07.01.2024 00:00","17235","17040"
"07.01.2024 00:00 - 07.01.2024 01:00","17190","16326"
"07.01.2024 01:00 - 07.01.2024 02:00","16685","15637"
"07.01.2024 02:00 - 07.01.2024 03:00","16424","15472"
"07.01.2024 03:00 - 07.01.2024 04:00","16393","15362"
"07.01.2024 04:00 - 07.01.2024 05:00","16405","15476"
"07.01.2024 05:00 - 07.01.2024 06:00","16567","15633"
"07.01.2024 06:00 - 07.01.2024 07:00","17012","16279"
"07.01.2024 07:00 - 07.01.2024 08:00","17503","16819"
"07.01.2024 08:00 - 07.01.2024 09:00","18319","17612"
"07.01.2024 09:00 - 07.01.2024 10:00","19563","18909"
