"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|PL","Actual Total Load [MW] - BZN|PL"
"25.05.2024 01:00 - 25.05.2024 02:00","15830","15752"
"25.05.2024 02:00 - 25.05.2024 03:00","15290","15312"
"25.05.2024 03:00 - 25.05.2024 04:00","15151","15174"
"25.05.2024 04:00 - 25.05.2024 05:00","14863","14962"
"25.05.2024 05:00 - 25.05.2024 06:00","14811","14856"
"25.05.2024 06:00 - 25.05.2024 07:00","16490","15693"
"25.05.2024 07:00 - 25.05.2024 08:00","17708","16964"
"25.05.2024 08:00 - 25.05.2024 09:00","18149","18139"
"25.05.2024 09:00 - 25.05.2024 10:00","18177","18453"
"25.05.2024 10:00 - 25.05.2024 11:00","18264","18269"
"25.05.2024 11:00 - 25.05.2024 12:00","18467","18231"
"25.05.2024 12:00 - 25.05.2024 13:00","18614","18052"
"25.05.2024 13:00 - 25.05.2024 14:00","18682","17889"
"25.05.2024 14:00 - 25.05.2024 15:00","17988","17558"
"25.05.2024 15:00 - 25.05.2024 16:00","17919","17810"
"25.05.2024 16:00 - 25.05.2024 17:00","18089","17822"
"25.05.2024 17:00 - 25.05.2024 18:00","18249","18148"
"25.05.2024 18:00 - 25.05.2024 19:00","18409","18097"
"25.05.2024 19:00 - 25.05.2024 20:00","18662","18284"
"25.05.2024 20:00 - 25.05.2024 21:00","18696","18467"
"25.05.2024 21:00 - 25.05.2024 22:00","18443","18354"
"25.05.2024 22:00 - 25.05.2024 23:00","17391","17345"
"25.05.2024 23:00 - 26.05.2024 00:00","16141","16036"
"26.05.2024 00:00 - 26.05.2024 01:00","14814","14743"
"26.05.2024 01:00 - 26.05.2024 02:00","14219","14183"
"26.05.2024 02:00 - 26.05.2024 03:00","13672","13728"
"26.05.2024 03:00 - 26.05.2024 04:00","13373","13502"
"26.05.2024 04:00 - 26.05.2024 05:00","13221","13139"
"26.05.2024 05:00 - 26.05.2024 06:00","12900","12969"
"26.05.2024 06:00 - 26.05.2024 07:00","13662","13204"
"26.05.2024 07:00 - 26.05.2024 08:00","14721","14191"
"26.05.2024 08:00 - 26.05.2024 09:00","15155","15126"
"26.05.2024 09:00 - 26.05.2024 10:00","15370","15581"
"26.05.2024 10:00 - 26.05.2024 11:00","15487","15684"
"26.05.2024 11:00 - 26.05.2024 12:00","15496","15596"
"26.05.2024 12:00 - 26.05.2024 13:00","15467","15786"
"26.05.2024 13:00 - 26.05.2024 14:00","15500","16091"
"26.05.2024 14:00 - 26.05.2024 15:00","15377","15962"
"26.05.2024 15:00 - 26.05.2024 16:00","15597","16019"
"26.05.2024 16:00 - 26.05.2024 17:00","15824","15906"
"26.05.2024 17:00 - 26.05.2024 18:00","16570","16494"
"26.05.2024 18:00 - 26.05.2024 19:00","17107","17202"
"26.05.2024 19:00 - 26.05.2024 20:00","17422","17500"
"26.05.2024 20:00 - 26.05.2024 21:00","17588","17429"
"26.05.2024 21:00 - 26.05.2024 22:00","17656","17498"
"26.05.2024 22:00 - 26.05.2024 23:00","16687","16711"
"26.05.2024 23:00 - 27.05.2024 00:00","15521","15509"
"27.05.2024 00:00 - 27.05.2024 01:00","14489","14456"
"27.05.2024 01:00 - 27.05.2024 02:00","13980","13991"
"27.05.2024 02:00 - 27.05.2024 03:00","13826","13773"
"27.05.2024 03:00 - 27.05.2024 04:00","13832","13653"
"27.05.2024 04:00 - 27.05.2024 05:00","14040","13718"
"27.05.2024 05:00 - 27.05.2024 06:00","16129","14492"
"27.05.2024 06:00 - 27.05.2024 07:00","19394","17461"
"27.05.2024 07:00 - 27.05.2024 08:00","20616","19722"
"27.05.2024 08:00 - 27.05.2024 09:00","21015","20647"
"27.05.2024 09:00 - 27.05.2024 10:00","20784","20583"
"27.05.2024 10:00 - 27.05.2024 11:00","20345","20072"
"27.05.2024 11:00 - 27.05.2024 12:00","20409","19930"
"27.05.2024 12:00 - 27.05.2024 13:00","20356","19958"
"27.05.2024 13:00 - 27.05.2024 14:00","20398","19561"
"27.05.2024 14:00 - 27.05.2024 15:00","20462","19478"
"27.05.2024 15:00 - 27.05.2024 16:00","20661","19799"
"27.05.2024 16:00 - 27.05.2024 17:00","20900","20405"
"27.05.2024 17:00 - 27.05.2024 18:00","21138","20772"
"27.05.2024 18:00 - 27.05.2024 19:00","21511","20960"
"27.05.2024 19:00 - 27.05.2024 20:00","21640","21520"
"27.05.2024 20:00 - 27.05.2024 21:00","21662","21540"
"27.05.2024 21:00 - 27.05.2024 22:00","21548","20772"
"27.05.2024 22:00 - 27.05.2024 23:00","19691","18915"
"27.05.2024 23:00 - 28.05.2024 00:00","18130","17301"
"28.05.2024 00:00 - 28.05.2024 01:00","16676","16321"
"28.05.2024 01:00 - 28.05.2024 02:00","16018","15664"
"28.05.2024 02:00 - 28.05.2024 03:00","15564","15319"
"28.05.2024 03:00 - 28.05.2024 04:00","15560","15217"
"28.05.2024 04:00 - 28.05.2024 05:00","15857","15075"
"28.05.2024 05:00 - 28.05.2024 06:00","16896","15722"
"28.05.2024 06:00 - 28.05.2024 07:00","19960","18256"
"28.05.2024 07:00 - 28.05.2024 08:00","21020","20347"
"28.05.2024 08:00 - 28.05.2024 09:00","21275","21112"
"28.05.2024 09:00 - 28.05.2024 10:00","21057","20870"
"28.05.2024 10:00 - 28.05.2024 11:00","20580","20597"
"28.05.2024 11:00 - 28.05.2024 12:00","20591","20814"
"28.05.2024 12:00 - 28.05.2024 13:00","20596","20868"
"28.05.2024 13:00 - 28.05.2024 14:00","20652","20818"
"28.05.2024 14:00 - 28.05.2024 15:00","20595","20812"
"28.05.2024 15:00 - 28.05.2024 16:00","20797","20925"
"28.05.2024 16:00 - 28.05.2024 17:00","20993","20877"
"28.05.2024 17:00 - 28.05.2024 18:00","21203","20975"
"28.05.2024 18:00 - 28.05.2024 19:00","21345","21328"
"28.05.2024 19:00 - 28.05.2024 20:00","21763","21745"
"28.05.2024 20:00 - 28.05.2024 21:00","21806","21615"
"28.05.2024 21:00 - 28.05.2024 22:00","21563","20812"
"28.05.2024 22:00 - 28.05.2024 23:00","19669","19289"
"28.05.2024 23:00 - 29.05.2024 00:00","18074","17814"
"29.05.2024 00:00 - 29.05.2024 01:00","16599","16745"
"29.05.2024 01:00 - 29.05.2024 02:00","15908","16125"
"29.05.2024 02:00 - 29.05.2024 03:00","15463","15766"
"29.05.2024 03:00 - 29.05.2024 04:00","15471","15692"
"29.05.2024 04:00 - 29.05.2024 05:00","15478","15766"
"29.05.2024 05:00 - 29.05.2024 06:00","16916","16484"
"29.05.2024 06:00 - 29.05.2024 07:00","20041","18817"
"29.05.2024 07:00 - 29.05.2024 08:00","21116","20426"
"29.05.2024 08:00 - 29.05.2024 09:00","21420","21088"
"29.05.2024 09:00 - 29.05.2024 10:00","21214","21096"
"29.05.2024 10:00 - 29.05.2024 11:00","20852","20796"
"29.05.2024 11:00 - 29.05.2024 12:00","20778","20467"
"29.05.2024 12:00 - 29.05.2024 13:00","20749","20539"
"29.05.2024 13:00 - 29.05.2024 14:00","20879","20102"
"29.05.2024 14:00 - 29.05.2024 15:00","20658","19806"
"29.05.2024 15:00 - 29.05.2024 16:00","20888","20163"
"29.05.2024 16:00 - 29.05.2024 17:00","21075","20637"
"29.05.2024 17:00 - 29.05.2024 18:00","21153","20632"
"29.05.2024 18:00 - 29.05.2024 19:00","21275","20653"
"29.05.2024 19:00 - 29.05.2024 20:00","21600","20918"
"29.05.2024 20:00 - 29.05.2024 21:00","21487","21066"
"29.05.2024 21:00 - 29.05.2024 22:00","21079","20524"
"29.05.2024 22:00 - 29.05.2024 23:00","19268","18843"
"29.05.2024 23:00 - 30.05.2024 00:00","17659","17300"
"30.05.2024 00:00 - 30.05.2024 01:00","16407","16105"
"30.05.2024 01:00 - 30.05.2024 02:00","15512","15330"
"30.05.2024 02:00 - 30.05.2024 03:00","14922","14854"
"30.05.2024 03:00 - 30.05.2024 04:00","14684","14605"
"30.05.2024 04:00 - 30.05.2024 05:00","14095","14129"
"30.05.2024 05:00 - 30.05.2024 06:00","13533","13692"
"30.05.2024 06:00 - 30.05.2024 07:00","14048","13748"
"30.05.2024 07:00 - 30.05.2024 08:00","14876","14596"
"30.05.2024 08:00 - 30.05.2024 09:00","15629","15510"
"30.05.2024 09:00 - 30.05.2024 10:00","15944","15828"
"30.05.2024 10:00 - 30.05.2024 11:00","15972","15919"
"30.05.2024 11:00 - 30.05.2024 12:00","15916","15602"
"30.05.2024 12:00 - 30.05.2024 13:00","15938","15451"
"30.05.2024 13:00 - 30.05.2024 14:00","15965","15496"
"30.05.2024 14:00 - 30.05.2024 15:00","15910","15253"
"30.05.2024 15:00 - 30.05.2024 16:00","15744","15496"
"30.05.2024 16:00 - 30.05.2024 17:00","15737","15681"
"30.05.2024 17:00 - 30.05.2024 18:00","15886","15817"
"30.05.2024 18:00 - 30.05.2024 19:00","16233","16173"
"30.05.2024 19:00 - 30.05.2024 20:00","16542","16617"
"30.05.2024 20:00 - 30.05.2024 21:00","16836","16567"
"30.05.2024 21:00 - 30.05.2024 22:00","16934","16632"
"30.05.2024 22:00 - 30.05.2024 23:00","16731","15991"
"30.05.2024 23:00 - 31.05.2024 00:00","15731","14735"
"31.05.2024 00:00 - 31.05.2024 01:00","14275","13863"
"31.05.2024 01:00 - 31.05.2024 02:00","13733","13367"
"31.05.2024 02:00 - 31.05.2024 03:00","13395","13092"
"31.05.2024 03:00 - 31.05.2024 04:00","13309","13048"
"31.05.2024 04:00 - 31.05.2024 05:00","13019","12973"
"31.05.2024 05:00 - 31.05.2024 06:00","14208","13345"
"31.05.2024 06:00 - 31.05.2024 07:00","16426","15083"
"31.05.2024 07:00 - 31.05.2024 08:00","17879","16869"
"31.05.2024 08:00 - 31.05.2024 09:00","18696","17867"
"31.05.2024 09:00 - 31.05.2024 10:00","18872","18126"
"31.05.2024 10:00 - 31.05.2024 11:00","18767","18014"
"31.05.2024 11:00 - 31.05.2024 12:00","18703","17508"
"31.05.2024 12:00 - 31.05.2024 13:00","18707","17373"
"31.05.2024 13:00 - 31.05.2024 14:00","18751","17840"
"31.05.2024 14:00 - 31.05.2024 15:00","18745","17805"
"31.05.2024 15:00 - 31.05.2024 16:00","18824","18544"
"31.05.2024 16:00 - 31.05.2024 17:00","18997","18437"
"31.05.2024 17:00 - 31.05.2024 18:00","18981","18566"
"31.05.2024 18:00 - 31.05.2024 19:00","18862","18680"
"31.05.2024 19:00 - 31.05.2024 20:00","18982","18819"
"31.05.2024 20:00 - 31.05.2024 21:00","18860","18758"
"31.05.2024 21:00 - 31.05.2024 22:00","18847","18272"
"31.05.2024 22:00 - 31.05.2024 23:00","18240","17183"
"31.05.2024 23:00 - 01.06.2024 00:00","16887","15931"
"01.06.2024 00:00 - 01.06.2024 01:00","14499","14852"
"01.06.2024 01:00 - 01.06.2024 02:00","14145","14194"
"01.06.2024 02:00 - 01.06.2024 03:00","13743","13791"
"01.06.2024 03:00 - 01.06.2024 04:00","13667","13753"
"01.06.2024 04:00 - 01.06.2024 05:00","13343","13367"
"01.06.2024 05:00 - 01.06.2024 06:00","13613","13443"
"01.06.2024 06:00 - 01.06.2024 07:00","14631","14418"
"01.06.2024 07:00 - 01.06.2024 08:00","15768","15784"
"01.06.2024 08:00 - 01.06.2024 09:00","17414","17141"
"01.06.2024 09:00 - 01.06.2024 10:00","18027","17854"
"01.06.2024 10:00 - 01.06.2024 11:00","17825","17439"
"01.06.2024 11:00 - 01.06.2024 12:00","17692","17381"
"01.06.2024 12:00 - 01.06.2024 13:00","17560","16834"
"01.06.2024 13:00 - 01.06.2024 14:00","17271","16793"
"01.06.2024 14:00 - 01.06.2024 15:00","16866","16878"
"01.06.2024 15:00 - 01.06.2024 16:00","17136","17043"
"01.06.2024 16:00 - 01.06.2024 17:00","17484","17237"
"01.06.2024 17:00 - 01.06.2024 18:00","17450","17132"
"01.06.2024 18:00 - 01.06.2024 19:00","17502","17172"
"01.06.2024 19:00 - 01.06.2024 20:00","17538","17432"
"01.06.2024 20:00 - 01.06.2024 21:00","17603","17445"
"01.06.2024 21:00 - 01.06.2024 22:00","17513","17287"
"01.06.2024 22:00 - 01.06.2024 23:00","16659","16501"
"01.06.2024 23:00 - 02.06.2024 00:00","15509","15374"
"02.06.2024 00:00 - 02.06.2024 01:00","14438","14409"
"02.06.2024 01:00 - 02.06.2024 02:00","13630","13715"
"02.06.2024 02:00 - 02.06.2024 03:00","13200","13284"
"02.06.2024 03:00 - 02.06.2024 04:00","12981","13010"
"02.06.2024 04:00 - 02.06.2024 05:00","12576","12607"
"02.06.2024 05:00 - 02.06.2024 06:00","12527","12486"
"02.06.2024 06:00 - 02.06.2024 07:00","13277","12860"
"02.06.2024 07:00 - 02.06.2024 08:00","14199","13764"
"02.06.2024 08:00 - 02.06.2024 09:00","15192","14709"
"02.06.2024 09:00 - 02.06.2024 10:00","15713","15545"
"02.06.2024 10:00 - 02.06.2024 11:00","15824","15845"
"02.06.2024 11:00 - 02.06.2024 12:00","16011","15832"
"02.06.2024 12:00 - 02.06.2024 13:00","15976","15609"
"02.06.2024 13:00 - 02.06.2024 14:00","15976","15836"
"02.06.2024 14:00 - 02.06.2024 15:00","15926","15543"
"02.06.2024 15:00 - 02.06.2024 16:00","15666","15313"
"02.06.2024 16:00 - 02.06.2024 17:00","15559","15258"
"02.06.2024 17:00 - 02.06.2024 18:00","16113","15879"
"02.06.2024 18:00 - 02.06.2024 19:00","16615","16398"
"02.06.2024 19:00 - 02.06.2024 20:00","16891","16646"
"02.06.2024 20:00 - 02.06.2024 21:00","16923","16867"
"02.06.2024 21:00 - 02.06.2024 22:00","17066","16761"
"02.06.2024 22:00 - 02.06.2024 23:00","16380","16133"
"02.06.2024 23:00 - 03.06.2024 00:00","14606","14841"
"03.06.2024 00:00 - 03.06.2024 01:00","13944","13833"
"03.06.2024 01:00 - 03.06.2024 02:00","13683","13414"
"03.06.2024 02:00 - 03.06.2024 03:00","13578","13160"
"03.06.2024 03:00 - 03.06.2024 04:00","13595","13234"
"03.06.2024 04:00 - 03.06.2024 05:00","13569","13320"
"03.06.2024 05:00 - 03.06.2024 06:00","14727","14350"
"03.06.2024 06:00 - 03.06.2024 07:00","18209","17374"
"03.06.2024 07:00 - 03.06.2024 08:00","19937","19359"
"03.06.2024 08:00 - 03.06.2024 09:00","20992","20266"
"03.06.2024 09:00 - 03.06.2024 10:00","21135","20681"
"03.06.2024 10:00 - 03.06.2024 11:00","20809","20597"
"03.06.2024 11:00 - 03.06.2024 12:00","21189","20358"
"03.06.2024 12:00 - 03.06.2024 13:00","21290","20299"
"03.06.2024 13:00 - 03.06.2024 14:00","21134","20036"
"03.06.2024 14:00 - 03.06.2024 15:00","21055","20193"
"03.06.2024 15:00 - 03.06.2024 16:00","21278","20162"
"03.06.2024 16:00 - 03.06.2024 17:00","21349","20172"
"03.06.2024 17:00 - 03.06.2024 18:00","21360","20140"
"03.06.2024 18:00 - 03.06.2024 19:00","21519","20352"
"03.06.2024 19:00 - 03.06.2024 20:00","21722","20863"
"03.06.2024 20:00 - 03.06.2024 21:00","21739","20750"
"03.06.2024 21:00 - 03.06.2024 22:00","20724","20232"
"03.06.2024 22:00 - 03.06.2024 23:00","19053","18713"
"03.06.2024 23:00 - 04.06.2024 00:00","17499","17252"
"04.06.2024 00:00 - 04.06.2024 01:00","16636","16158"
"04.06.2024 01:00 - 04.06.2024 02:00","15990","15519"
"04.06.2024 02:00 - 04.06.2024 03:00","15551","15192"
"04.06.2024 03:00 - 04.06.2024 04:00","15564","15218"
"04.06.2024 04:00 - 04.06.2024 05:00","15777","15238"
"04.06.2024 05:00 - 04.06.2024 06:00","16822","15934"
"04.06.2024 06:00 - 04.06.2024 07:00","20027","18481"
"04.06.2024 07:00 - 04.06.2024 08:00","21363","20541"
"04.06.2024 08:00 - 04.06.2024 09:00","21670","21292"
"04.06.2024 09:00 - 04.06.2024 10:00","21544","21435"
"04.06.2024 10:00 - 04.06.2024 11:00","21342","21287"
"04.06.2024 11:00 - 04.06.2024 12:00","21411","21596"
"04.06.2024 12:00 - 04.06.2024 13:00","21367","21527"
"04.06.2024 13:00 - 04.06.2024 14:00","21375","21400"
"04.06.2024 14:00 - 04.06.2024 15:00","21263","21095"
"04.06.2024 15:00 - 04.06.2024 16:00","21348","21115"
"04.06.2024 16:00 - 04.06.2024 17:00","21539","20868"
"04.06.2024 17:00 - 04.06.2024 18:00","21682","20747"
"04.06.2024 18:00 - 04.06.2024 19:00","21842","20666"
"04.06.2024 19:00 - 04.06.2024 20:00","21921","21069"
"04.06.2024 20:00 - 04.06.2024 21:00","21959","21070"
"04.06.2024 21:00 - 04.06.2024 22:00","21707","20495"
"04.06.2024 22:00 - 04.06.2024 23:00","19794","19038"
"04.06.2024 23:00 - 05.06.2024 00:00","18231","17447"
"05.06.2024 00:00 - 05.06.2024 01:00","16517","16281"
"05.06.2024 01:00 - 05.06.2024 02:00","15856","15632"
"05.06.2024 02:00 - 05.06.2024 03:00","15395","15310"
"05.06.2024 03:00 - 05.06.2024 04:00","15384","15258"
"05.06.2024 04:00 - 05.06.2024 05:00","15570","15259"
"05.06.2024 05:00 - 05.06.2024 06:00","16586","15858"
"05.06.2024 06:00 - 05.06.2024 07:00","19733","18200"
"05.06.2024 07:00 - 05.06.2024 08:00","20750","20054"
"05.06.2024 08:00 - 05.06.2024 09:00","21136","20571"
"05.06.2024 09:00 - 05.06.2024 10:00","20882","20620"
"05.06.2024 10:00 - 05.06.2024 11:00","20666","19888"
"05.06.2024 11:00 - 05.06.2024 12:00","20754","19746"
"05.06.2024 12:00 - 05.06.2024 13:00","20773","19932"
"05.06.2024 13:00 - 05.06.2024 14:00","20822","19570"
"05.06.2024 14:00 - 05.06.2024 15:00","20951","19547"
"05.06.2024 15:00 - 05.06.2024 16:00","21079","19795"
"05.06.2024 16:00 - 05.06.2024 17:00","21260","20370"
"05.06.2024 17:00 - 05.06.2024 18:00","21370","20623"
"05.06.2024 18:00 - 05.06.2024 19:00","21477","20828"
"05.06.2024 19:00 - 05.06.2024 20:00","21833","21420"
"05.06.2024 20:00 - 05.06.2024 21:00","21884","21526"
"05.06.2024 21:00 - 05.06.2024 22:00","21491","20974"
"05.06.2024 22:00 - 05.06.2024 23:00","19593","19538"
"05.06.2024 23:00 - 06.06.2024 00:00","18141","18008"
"06.06.2024 00:00 - 06.06.2024 01:00","16546","16825"
"06.06.2024 01:00 - 06.06.2024 02:00","15882","16158"
"06.06.2024 02:00 - 06.06.2024 03:00","15421","15902"
"06.06.2024 03:00 - 06.06.2024 04:00","15414","15636"
"06.06.2024 04:00 - 06.06.2024 05:00","15607","15577"
"06.06.2024 05:00 - 06.06.2024 06:00","16632","16265"
"06.06.2024 06:00 - 06.06.2024 07:00","19802","18599"
"06.06.2024 07:00 - 06.06.2024 08:00","20828","20290"
"06.06.2024 08:00 - 06.06.2024 09:00","21223","20879"
"06.06.2024 09:00 - 06.06.2024 10:00","21017","20642"
"06.06.2024 10:00 - 06.06.2024 11:00","20822","20194"
"06.06.2024 11:00 - 06.06.2024 12:00","20909","20289"
"06.06.2024 12:00 - 06.06.2024 13:00","20873","20490"
"06.06.2024 13:00 - 06.06.2024 14:00","20893","20440"
"06.06.2024 14:00 - 06.06.2024 15:00","21037","19913"
"06.06.2024 15:00 - 06.06.2024 16:00","21156","20327"
"06.06.2024 16:00 - 06.06.2024 17:00","21316","20608"
"06.06.2024 17:00 - 06.06.2024 18:00","21423","20636"
"06.06.2024 18:00 - 06.06.2024 19:00","21527","20869"
"06.06.2024 19:00 - 06.06.2024 20:00","21874","21388"
"06.06.2024 20:00 - 06.06.2024 21:00","21915","21542"
"06.06.2024 21:00 - 06.06.2024 22:00","21517","20970"
"06.06.2024 22:00 - 06.06.2024 23:00","19610","19498"
"06.06.2024 23:00 - 07.06.2024 00:00","18154","17951"
"07.06.2024 00:00 - 07.06.2024 01:00","16452","16691"
"07.06.2024 01:00 - 07.06.2024 02:00","15798","16078"
"07.06.2024 02:00 - 07.06.2024 03:00","15345","15648"
"07.06.2024 03:00 - 07.06.2024 04:00","15347","15663"
"07.06.2024 04:00 - 07.06.2024 05:00","15551","15559"
"07.06.2024 05:00 - 07.06.2024 06:00","16686","16115"
"07.06.2024 06:00 - 07.06.2024 07:00","19667","18409"
"07.06.2024 07:00 - 07.06.2024 08:00","20693","20330"
"07.06.2024 08:00 - 07.06.2024 09:00","21078","20874"
"07.06.2024 09:00 - 07.06.2024 10:00","20884","21064"
"07.06.2024 10:00 - 07.06.2024 11:00","20239","20178"
"07.06.2024 11:00 - 07.06.2024 12:00","20238","20311"
"07.06.2024 12:00 - 07.06.2024 13:00","20181","20914"
"07.06.2024 13:00 - 07.06.2024 14:00","20187","21100"
"07.06.2024 14:00 - 07.06.2024 15:00","20170","20600"
"07.06.2024 15:00 - 07.06.2024 16:00","20223","20386"
"07.06.2024 16:00 - 07.06.2024 17:00","20162","20403"
"07.06.2024 17:00 - 07.06.2024 18:00","20258","20554"
"07.06.2024 18:00 - 07.06.2024 19:00","20626","20522"
"07.06.2024 19:00 - 07.06.2024 20:00","20997","20968"
"07.06.2024 20:00 - 07.06.2024 21:00","20952","21008"
"07.06.2024 21:00 - 07.06.2024 22:00","20616","20525"
"07.06.2024 22:00 - 07.06.2024 23:00","19117","19189"
"07.06.2024 23:00 - 08.06.2024 00:00","17664","17842"
"08.06.2024 00:00 - 08.06.2024 01:00","16328","16507"
"08.06.2024 01:00 - 08.06.2024 02:00","15571","15750"
"08.06.2024 02:00 - 08.06.2024 03:00","15065","15388"
"08.06.2024 03:00 - 08.06.2024 04:00","14964","15106"
"08.06.2024 04:00 - 08.06.2024 05:00","14665","14745"
"08.06.2024 05:00 - 08.06.2024 06:00","14550","14517"
"08.06.2024 06:00 - 08.06.2024 07:00","16009","15093"
"08.06.2024 07:00 - 08.06.2024 08:00","17246","16335"
"08.06.2024 08:00 - 08.06.2024 09:00","17863","17281"
"08.06.2024 09:00 - 08.06.2024 10:00","17944","17575"
"08.06.2024 10:00 - 08.06.2024 11:00","18117","17429"
"08.06.2024 11:00 - 08.06.2024 12:00","18389","17048"
"08.06.2024 12:00 - 08.06.2024 13:00","18396","17001"
"08.06.2024 13:00 - 08.06.2024 14:00","18336","16783"
"08.06.2024 14:00 - 08.06.2024 15:00","17821","16513"
"08.06.2024 15:00 - 08.06.2024 16:00","17617","16336"
"08.06.2024 16:00 - 08.06.2024 17:00","17542","16725"
"08.06.2024 17:00 - 08.06.2024 18:00","17558","16928"
"08.06.2024 18:00 - 08.06.2024 19:00","17708","17274"
"08.06.2024 19:00 - 08.06.2024 20:00","17801","17638"
"08.06.2024 20:00 - 08.06.2024 21:00","17804","17486"
"08.06.2024 21:00 - 08.06.2024 22:00","17541","17140"
"08.06.2024 22:00 - 08.06.2024 23:00","16770","16405"
"08.06.2024 23:00 - 09.06.2024 00:00","15604","15206"
"09.06.2024 00:00 - 09.06.2024 01:00","14316","14049"
"09.06.2024 01:00 - 09.06.2024 02:00","13669","13324"
"09.06.2024 02:00 - 09.06.2024 03:00","13130","13176"
"09.06.2024 03:00 - 09.06.2024 04:00","12903","12934"
"09.06.2024 04:00 - 09.06.2024 05:00","12674","12581"
"09.06.2024 05:00 - 09.06.2024 06:00","12483","12553"
"09.06.2024 06:00 - 09.06.2024 07:00","13358","12934"
"09.06.2024 07:00 - 09.06.2024 08:00","14366","13703"
"09.06.2024 08:00 - 09.06.2024 09:00","15081","14235"
"09.06.2024 09:00 - 09.06.2024 10:00","15411","15328"
"09.06.2024 10:00 - 09.06.2024 11:00","15421","15309"
"09.06.2024 11:00 - 09.06.2024 12:00","15382","15792"
"09.06.2024 12:00 - 09.06.2024 13:00","15303","15853"
"09.06.2024 13:00 - 09.06.2024 14:00","15340","15638"
"09.06.2024 14:00 - 09.06.2024 15:00","15428","15141"
"09.06.2024 15:00 - 09.06.2024 16:00","15469","15567"
"09.06.2024 16:00 - 09.06.2024 17:00","15527","15701"
"09.06.2024 17:00 - 09.06.2024 18:00","16027","16239"
"09.06.2024 18:00 - 09.06.2024 19:00","16633","17021"
"09.06.2024 19:00 - 09.06.2024 20:00","16983","17330"
"09.06.2024 20:00 - 09.06.2024 21:00","17058","17229"
"09.06.2024 21:00 - 09.06.2024 22:00","17078","17288"
"09.06.2024 22:00 - 09.06.2024 23:00","16981","16869"
"09.06.2024 23:00 - 10.06.2024 00:00","15829","15662"
"10.06.2024 00:00 - 10.06.2024 01:00","14488","14767"
"10.06.2024 01:00 - 10.06.2024 02:00","13878","14075"
"10.06.2024 02:00 - 10.06.2024 03:00","13665","13900"
"10.06.2024 03:00 - 10.06.2024 04:00","13653","13934"
"10.06.2024 04:00 - 10.06.2024 05:00","13996","13886"
"10.06.2024 05:00 - 10.06.2024 06:00","16173","14640"
"10.06.2024 06:00 - 10.06.2024 07:00","19214","17499"
"10.06.2024 07:00 - 10.06.2024 08:00","20490","19543"
"10.06.2024 08:00 - 10.06.2024 09:00","20996","20566"
"10.06.2024 09:00 - 10.06.2024 10:00","20999","20885"
"10.06.2024 10:00 - 10.06.2024 11:00","20841","20767"
"10.06.2024 11:00 - 10.06.2024 12:00","20967","20956"
"10.06.2024 12:00 - 10.06.2024 13:00","21100","20982"
"10.06.2024 13:00 - 10.06.2024 14:00","21135","21122"
"10.06.2024 14:00 - 10.06.2024 15:00","21004","20745"
"10.06.2024 15:00 - 10.06.2024 16:00","21063","20684"
"10.06.2024 16:00 - 10.06.2024 17:00","20930","20692"
"10.06.2024 17:00 - 10.06.2024 18:00","20864","20652"
"10.06.2024 18:00 - 10.06.2024 19:00","21100","20746"
"10.06.2024 19:00 - 10.06.2024 20:00","21211","21277"
"10.06.2024 20:00 - 10.06.2024 21:00","21213","21345"
"10.06.2024 21:00 - 10.06.2024 22:00","20977","20700"
"10.06.2024 22:00 - 10.06.2024 23:00","19383","19293"
"10.06.2024 23:00 - 11.06.2024 00:00","17832","17785"
"11.06.2024 00:00 - 11.06.2024 01:00","16577","16539"
"11.06.2024 01:00 - 11.06.2024 02:00","15961","15663"
"11.06.2024 02:00 - 11.06.2024 03:00","15489","15228"
"11.06.2024 03:00 - 11.06.2024 04:00","15358","15162"
"11.06.2024 04:00 - 11.06.2024 05:00","15469","15107"
"11.06.2024 05:00 - 11.06.2024 06:00","16507","15717"
"11.06.2024 06:00 - 11.06.2024 07:00","19423","18202"
"11.06.2024 07:00 - 11.06.2024 08:00","20551","20038"
"11.06.2024 08:00 - 11.06.2024 09:00","20755","20376"
"11.06.2024 09:00 - 11.06.2024 10:00","20505","20155"
"11.06.2024 10:00 - 11.06.2024 11:00","20093","20065"
"11.06.2024 11:00 - 11.06.2024 12:00","19921","20527"
"11.06.2024 12:00 - 11.06.2024 13:00","19870","21027"
"11.06.2024 13:00 - 11.06.2024 14:00","19955","21125"
"11.06.2024 14:00 - 11.06.2024 15:00","19817","21422"
"11.06.2024 15:00 - 11.06.2024 16:00","19887","21280"
"11.06.2024 16:00 - 11.06.2024 17:00","20000","20829"
"11.06.2024 17:00 - 11.06.2024 18:00","20212","20647"
"11.06.2024 18:00 - 11.06.2024 19:00","20663","21080"
"11.06.2024 19:00 - 11.06.2024 20:00","21186","21290"
"11.06.2024 20:00 - 11.06.2024 21:00","21186","20993"
"11.06.2024 21:00 - 11.06.2024 22:00","20868","20279"
"11.06.2024 22:00 - 11.06.2024 23:00","19381","18956"
"11.06.2024 23:00 - 12.06.2024 00:00","17933","17280"
"12.06.2024 00:00 - 12.06.2024 01:00","16399","16124"
"12.06.2024 01:00 - 12.06.2024 02:00","15796","15299"
"12.06.2024 02:00 - 12.06.2024 03:00","15351","15020"
"12.06.2024 03:00 - 12.06.2024 04:00","15359","14947"
